population,scenario,date,estimate,lower,upper,averted,averted_lower,averted_upper,cume_averted,cume_averted_lower,cume_averted_upper,scenario_cat
infant,observed,2024-01-06,334.51820580474936,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-01-13,287.68565699208443,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-01-20,195.69315039577836,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-01-27,232.4901530343008,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-02-03,250.888654353562,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-02-10,214.09165171503957,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-02-17,204.05610554089708,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-02-24,130.46210026385222,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-03-02,102.02805277044854,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-03-09,93.6650976253298,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-03-16,65.23105013192611,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-03-23,55.195503957783636,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-03-30,93.6650976253298,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-04-06,34.96989973614775,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-04-13,44.507145118733504,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-04-20,52.45484960422163,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-04-27,34.96989973614775,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-05-04,52.45484960422163,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-05-11,27.022195250659625,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-05-18,44.507145118733504,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-05-25,52.45484960422163,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-06-01,79.47704485488127,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-06-08,61.99209498680739,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-06-15,44.507145118733504,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-06-22,96.96199472295513,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-06-29,96.96199472295513,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-07-06,93.2324643799472,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-07-13,129.8595039577836,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-07-20,176.47573614775726,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-07-27,129.8595039577836,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-08-03,129.8595039577836,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
infant,observed,2024-08-10,213.10277572559366,NA,NA,NA,NA,NA,NA,NA,NA,No vaccination
